Address,City,State,Zip,Price,pricePerSquareFoot,Bedrooms,Bathrooms,Living Area,Lot Size (Acres),Lot Size (Sqft),Year Built,Days on Zillow,Zestimate,Rent Zestimate,Last Sold Date,Property Type,Listing Status
5340 Holmes Run Pkwy UNIT 1609,Alexandria,VA,22304,189000,338,1,1.0,560,,,1967,1,183000,1704,2025-01-31,condo,recentlySold
279 S Pickett St APT 402,Alexandria,VA,22304,495000,322,2,2.0,1535,,,1995,1,492800,2898,2025-01-31,condo,recentlySold
2792 N Quebec St,Arlington,VA,22207,1667500,654,5,4.0,2550,0.4621900826446281,20133.0,1967,1,1732200,6381,2025-01-31,singleFamily,recentlySold
1110 N Inglewood St,Arlington,VA,22205,1136110,664,3,2.0,1710,5438.0,,1941,1,1028500,3635,2025-01-31,singleFamily,recentlySold
1 N Madison St,Arlington,VA,22203,835000,396,7,2.0,2110,7165.0,,1953,1,849000,4351,2025-01-31,singleFamily,recentlySold
900 N Taylor St APT 911,Arlington,VA,22203,100000,146,1,1.0,686,,,1992,1,100900,2249,2025-01-31,condo,recentlySold
900 N Taylor St APT 927,Arlington,VA,22203,315000,328,2,2.0,960,,,1992,1,309300,3094,2025-01-31,condo,recentlySold
900 N Taylor St APT 1123,Arlington,VA,22203,333125,318,2,2.0,1048,,,1992,1,,3145,2025-01-31,condo,recentlySold
724 N Barton St,Arlington,VA,22201,1173300,794,3,3.0,1477,4336.0,,1920,1,1130100,3954,2025-01-31,singleFamily,recentlySold
2022 6th St S,Arlington,VA,22204,625000,574,2,3.0,1088,1184.0,,1984,1,,2606,2025-01-31,townhome,recentlySold
6358 Gatewood Rd,Woodford,VA,22580,320000,338,3,1.0,946,2.0,87120.0,1947,1,298400,1590,2025-01-31,singleFamily,recentlySold
2910 Mount Hermon Rd,Moseley,VA,23120,300000,207,3,2.0,1450,1.0,43560.0,1974,1,380600,2322,2025-01-31,singleFamily,recentlySold
13469 Glendower Rd,Midlothian,VA,23113,750000,194,6,4.0,3857,1.18,51400.799999999996,1980,1,733000,3556,2025-01-31,singleFamily,recentlySold
7505 Winning Colors Pl,Midlothian,VA,23112,410000,202,4,3.0,2032,0.41700000000000004,18164.52,1991,1,407100,2549,2025-01-31,singleFamily,recentlySold
11749 N Briar Patch Dr,Midlothian,VA,23113,235000,202,2,2.0,1164,435.6,,1974,1,232500,1736,2025-01-31,condo,recentlySold
1001 Ryder Rd,North Chesterfield,VA,23235,425000,177,4,3.0,2397,0.376,16378.56,1967,1,430800,2594,2025-01-31,singleFamily,recentlySold
7453 Towchester Dr,Chesterfield,VA,23832,340000,193,3,2.0,1766,0.324,14113.44,1983,1,340100,2391,2025-01-31,singleFamily,recentlySold
6633 Commander Rd,North Chesterfield,VA,23224,230000,155,3,2.0,1485,0.34900000000000003,15202.44,1964,1,,2088,2025-01-31,singleFamily,recentlySold
4909 Cochise Trl,North Chesterfield,VA,23237,385000,186,4,3.0,2074,0.403,17554.68,1984,1,395600,2504,2025-01-31,singleFamily,recentlySold
4342 Lafon St,Chester,VA,23831,250000,220,2,1.0,1134,0.362,15768.72,1939,1,249700,1700,2025-01-31,singleFamily,recentlySold
15872 Fox Chase Ln,Culpeper,VA,22701,462825,210,3,3.0,2203,1.22,53143.2,1997,1,478800,2715,2025-01-31,singleFamily,recentlySold
1100 Caroline St,Fredericksburg,VA,22401,945250,353,6,2.0,2680,0.27,11761.2,1901,1,,3364,2025-01-31,singleFamily,recentlySold
14428 Stone Horse Creek Rd,Glen Allen,VA,23059,479000,235,5,3.0,2037,2.0,87120.0,1970,1,468900,2634,2025-01-31,singleFamily,recentlySold
7025 Haynes Dr,Mechanicsville,VA,23111,331000,202,3,2.0,1638,0.42000000000000004,18295.2,1964,1,339800,2226,2025-01-31,singleFamily,recentlySold
8096 Dunwoody Rd,Mechanicsville,VA,23111,310500,190,3,2.0,1637,0.38,16552.8,1970,1,310000,2195,2025-01-31,singleFamily,recentlySold
9017 Williamsville Rd,Mechanicsville,VA,23116,300000,314,3,1.0,956,1.0,43560.0,1959,1,338400,1774,2025-01-31,singleFamily,recentlySold
4605 English Cedar Ct,Glen Allen,VA,23060,428000,235,3,3.0,1820,0.3184,13869.504,1988,1,442600,2571,2025-01-31,singleFamily,recentlySold
10616 Argonne Dr,Glen Allen,VA,23060,520000,226,4,3.0,2302,10162.548,,1988,1,520700,2775,2025-01-31,singleFamily,recentlySold
13117 Middle Ridge Way,Henrico,VA,23233,425000,251,4,2.0,1694,0.2509,10929.204,1991,1,417600,2432,2025-01-31,singleFamily,recentlySold
3004 Vanna Ln,Henrico,VA,23233,530000,265,4,3.0,2000,0.263,11456.28,1994,1,536500,2704,2025-01-31,singleFamily,recentlySold
1503 Thistle Rd APT 203,Henrico,VA,23238,190000,162,2,2.0,1175,,,1981,1,184700,1638,2025-01-31,condo,recentlySold
9502 Chatterleigh Ct,Henrico,VA,23238,450000,180,4,3.0,2506,0.4197,18282.132,1980,1,462000,2870,2025-01-31,singleFamily,recentlySold
7302 Harlow Rd,Richmond,VA,23226,333000,257,3,2.0,1296,0.2845,12392.82,1955,1,328700,2194,2025-01-31,singleFamily,recentlySold
496 Saint Albans Way,Henrico,VA,23229,795000,275,3,3.0,2889,2530.836,,1990,1,783900,3369,2025-01-31,condo,recentlySold
203 Westover Ave,Richmond,VA,23223,339900,202,4,2.0,1686,10728.828,,1985,1,337000,2185,2025-01-31,singleFamily,recentlySold
416 Kings Reach Rd,Richmond,VA,23223,360000,223,4,3.0,1612,9391.536,,1999,1,362500,2364,2025-01-31,singleFamily,recentlySold
19 N Daisy Ave,Henrico,VA,23075,225000,218,2,1.0,1034,7714.476,,1947,1,224300,1632,2025-01-31,singleFamily,recentlySold
2117 Bromby St,Henrico,VA,23231,195000,145,3,2.0,1344,0.2654,11560.824,1987,1,225600,1786,2025-01-31,singleFamily,recentlySold
326 Seven Pines Ave,Sandston,VA,23150,257150,178,4,1.0,1448,7601.22,,1944,1,,1997,2025-01-31,singleFamily,recentlySold
127 Victoria Pl,Sterling,VA,20164,692000,341,4,3.0,2031,9583.0,,1974,1,,3223,2025-01-31,singleFamily,recentlySold
46702 Atwood Sq,Sterling,VA,20164,385000,458,2,1.0,840,,,1989,1,383900,1975,2025-01-31,townhome,recentlySold
927 Cheshire Ct,Sterling,VA,20164,399000,370,3,2.0,1078,,,1975,1,402100,2442,2025-01-31,townhome,recentlySold
721 Colonial Ave,Sterling,VA,20164,425000,354,3,3.0,1200,1742.0,,1970,1,424600,2633,2025-01-31,townhome,recentlySold
20944 Cox Mills Ct,Ashburn,VA,20147,790000,417,3,2.0,1893,0.26000918273645546,11326.0,1992,1,758400,3176,2025-01-31,singleFamily,recentlySold
42851 Churchill Downs Dr,Ashburn,VA,20147,665000,375,3,2.0,1772,8712.0,,1993,1,,3026,2025-01-31,singleFamily,recentlySold
660 Gateway Dr SE UNIT 112,Leesburg,VA,20175,371000,303,3,2.0,1226,,,1989,1,362800,2457,2025-01-31,condo,recentlySold
12949 Downey Mill Rd,Lovettsville,VA,20180,460000,399,3,1.0,1152,1.28,55756.8,1796,1,500300,2319,2025-01-31,singleFamily,recentlySold
38454 Lime Kiln Rd,Middleburg,VA,20117,423000,,,,,15.72,684763.2000000001,,1,,3208,2025-01-31,land,recentlySold
37788 Remington Dr,Purcellville,VA,20132,750000,344,4,3.0,2183,10019.0,,1989,1,,3463,2025-01-31,singleFamily,recentlySold
38499 Snickersville Tpke,Middleburg,VA,20117,775000,369,3,3.0,2100,1.08,47044.8,1875,1,769200,3586,2025-01-31,singleFamily,recentlySold
101 N 33rd St,Purcellville,VA,20132,740000,322,3,2.0,2300,0.35,15245.999999999998,1897,1,741400,3236,2025-01-31,singleFamily,recentlySold
35141 Charles Town Pike,Purcellville,VA,20132,800000,292,3,4.0,2742,3.0,130680.0,1963,1,837300,3833,2025-01-31,singleFamily,recentlySold
21319 Foxcroft Rd,Middleburg,VA,20117,690000,445,3,3.0,1552,3.83,166834.80000000002,1989,1,760100,2867,2025-01-31,singleFamily,recentlySold
23077 Constitution Hwy,Unionville,VA,22567,530000,220,3,3.0,2411,9.5,413820.0,1965,1,508500,2381,2025-01-31,singleFamily,recentlySold
9266 Zachary Taylor Hwy,Unionville,VA,22567,399500,199,3,2.0,2006,2.0,87120.0,1956,1,,2118,2025-01-31,singleFamily,recentlySold
1312 Oregon Ave,Woodbridge,VA,22191,500000,382,3,2.0,1310,0.28569788797061524,12445.0,1965,1,,2475,2025-01-31,singleFamily,recentlySold
7368 Colton Ln,Manassas,VA,20109,475000,257,4,3.0,1848,3049.2,,1970,1,,2781,2025-01-31,townhome,recentlySold
7509 Purdue Ct,Manassas,VA,20109,300000,233,2,2.0,1287,,,1972,1,295200,2170,2025-01-31,townhome,recentlySold
2204 Montgomery Ave,Woodbridge,VA,22191,530000,252,5,3.0,2100,0.2688934802571166,11713.0,1966,1,524300,2952,2025-01-31,singleFamily,recentlySold
1423 Mountain Rd,Haymarket,VA,20169,606000,299,4,3.0,2025,1.0009,43599.204,1978,1,588100,3397,2025-01-31,singleFamily,recentlySold
13358 Marie Dr,Manassas,VA,20112,725000,201,4,4.0,3612,1.58,68824.8,1980,1,717800,3988,2025-01-31,singleFamily,recentlySold
5982 Swanson Rd,Richmond,VA,23225,300000,230,3,2.0,1305,0.506,22041.36,1958,1,299400,2023,2025-01-31,singleFamily,recentlySold
411 Patrick Ave,Richmond,VA,23222,235000,373,2,1.0,630,4051.08,,1948,1,223300,1400,2025-01-31,singleFamily,recentlySold
4107 Forest Cir,Richmond,VA,23225,460000,299,4,3.0,1536,9483.012,,1951,1,468000,2412,2025-01-31,singleFamily,recentlySold
4203 Fitzhugh Ave,Richmond,VA,23230,500000,412,2,2.0,1214,3541.428,,1986,1,493700,2231,2025-01-31,singleFamily,recentlySold
341 Stonebridge Dr,Vinton,VA,24179,565000,149,5,4.0,3785,1.91,83199.59999999999,1969,1,568200,2908,2025-01-31,singleFamily,recentlySold
507 Wind Ridge Dr,Stafford,VA,22554,350000,178,2,4.0,1963,1694.0,,1989,1,360700,2397,2025-01-31,townhome,recentlySold
407 Lakeview Ct,Stafford,VA,22554,395000,202,4,4.0,1954,1799.0,,1994,1,401200,2497,2025-01-31,townhome,recentlySold
211 McCarty Rd,Fredericksburg,VA,22405,800000,175,4,6.0,4577,4.0016,174309.696,2013,1,832600,4746,2025-01-31,singleFamily,recentlySold
2424 Stanley Ave SE,Roanoke,VA,24014,580000,192,4,3.0,3018,7405.200000000001,,1928,1,601800,2862,2025-01-31,singleFamily,recentlySold
4641 Heather Dr SW APT 316,Roanoke,VA,24018,260000,152,2,2.0,1708,0.0,,1993,1,255900,1717,2025-01-31,condo,recentlySold
5097 Little Falls Rd,Arlington,VA,22207,1950000,372,6,6.0,5243,0.29419191919191917,12815.0,2002,1,2066100,7881,2025-01-31,singleFamily,recentlySold
10231 Elizabeth St,Great Falls,VA,22066,1500000,431,4,2.0,3480,5.1276,223358.256,1969,1,1518500,4084,2025-01-31,singleFamily,recentlySold
1633 Sadlers Wells Dr,Herndon,VA,20170,855000,265,4,4.0,3225,8401.0,,1986,1,787800,3975,2025-01-31,singleFamily,recentlySold
11714 Old Bayberry Ln,Reston,VA,20194,925000,410,3,3.0,2256,5942.0,,1985,1,1078300,3541,2025-01-31,singleFamily,recentlySold
12077 Chancery Station Cir,Reston,VA,20190,890000,514,3,3.0,1731,1634.0,,1999,1,876400,3618,2025-01-31,townhome,recentlySold
938 Douglass Dr,Mc Lean,VA,22101,3000000,346,5,8.0,8675,0.9550045913682277,41600.0,1988,1,,7199,2025-01-31,singleFamily,recentlySold
1015 Shipman Ln,Mc Lean,VA,22101,2120000,872,6,6.0,2430,0.4714876033057851,20538.0,2007,1,2254700,6454,2025-01-31,singleFamily,recentlySold
6818 Wise St,Mc Lean,VA,22101,1140000,1013,5,3.0,1125,0.2561065197428834,11156.0,1956,1,,4237,2025-01-31,singleFamily,recentlySold
1124 Savile Ln,Mc Lean,VA,22101,2750000,247,8,11.0,11139,0.47699724517906333,20778.0,1988,1,2717200,4356,2025-01-31,singleFamily,recentlySold
4021 N Taylor St,Arlington,VA,22207,1265000,406,5,4.0,3116,0.3536042240587695,15403.0,1959,1,,5737,2025-01-31,singleFamily,recentlySold
7425 Shreve Rd,Falls Church,VA,22043,895000,374,5,3.0,2392,0.29848484848484846,13002.0,1981,1,969600,4106,2025-01-31,singleFamily,recentlySold
3923 Green Look Ct,Fairfax,VA,22033,785000,366,3,3.0,2145,1556.0,,1989,1,,3284,2025-01-31,townhome,recentlySold
3943 Valley Ridge Dr,Fairfax,VA,22033,736000,356,3,3.0,2070,1556.0,,1994,1,732900,3134,2025-01-31,townhome,recentlySold
9655 Motley Ln,Vienna,VA,22181,785000,324,3,4.0,2425,1700.0,,1981,1,792100,3235,2025-01-31,townhome,recentlySold
1009 Cottage St SW,Vienna,VA,22180,1700000,340,5,5.0,5000,10150.0,,2015,1,1693700,7208,2025-01-31,singleFamily,recentlySold
3166 Ellenwood Dr,Fairfax,VA,22031,460000,313,3,3.0,1470,1723.0,,1978,1,516300,2848,2025-01-31,townhome,recentlySold
6825 Barrett Rd,Falls Church,VA,22042,750000,471,3,3.0,1592,7202.0,,1951,1,741200,3392,2025-01-31,singleFamily,recentlySold
3712 Camelot Dr,Annandale,VA,22003,1000000,337,6,4.0,2971,0.3445362718089991,15008.0,1965,1,968200,4774,2025-01-31,singleFamily,recentlySold
3820 Barcroft Ln,Alexandria,VA,22312,750000,652,5,3.0,1150,10500.0,,1954,1,750200,3456,2025-01-31,singleFamily,recentlySold
6362 Dockser Ter,Falls Church,VA,22041,1175000,532,3,2.0,2209,0.32541322314049587,14175.0,1955,1,1156900,3992,2025-01-31,singleFamily,recentlySold
5115 Skyline Village Ct,Alexandria,VA,22302,765000,333,3,4.0,2300,,,1983,1,770500,3403,2025-01-31,townhome,recentlySold
6308 Manchester Way,Alexandria,VA,22304,800000,229,3,5.0,3492,2214.0,,1987,1,813600,4235,2025-01-31,townhome,recentlySold
5565 Caithness Ct,Fairfax,VA,22032,545000,447,3,3.0,1220,1500.0,,1984,1,535200,2893,2025-01-31,townhome,recentlySold
5400 Calstock Ct,Burke,VA,22015,616400,362,4,3.0,1704,2640.0,,1970,1,608900,3087,2025-01-31,townhome,recentlySold
8410 Millwood Dr,Springfield,VA,22152,750000,295,3,4.0,2540,3417.0,,1988,1,,3457,2025-01-31,townhome,recentlySold
5426 Lehigh Ln,Springfield,VA,22151,714700,557,3,2.0,1283,0.5069329660238752,22082.000000000004,1957,1,673400,3216,2025-01-31,singleFamily,recentlySold
7112 Kerr Dr,Springfield,VA,22150,680000,348,4,2.0,1952,8640.0,,1957,1,681300,3607,2025-01-31,singleFamily,recentlySold
2313 Glendale Ter,Alexandria,VA,22303,387000,432,2,1.0,896,3600.0,,1949,1,399500,2775,2025-01-31,singleFamily,recentlySold
6414 13th St,Alexandria,VA,22307,780000,637,3,2.0,1224,7000.0,,1942,1,749600,3473,2025-01-31,singleFamily,recentlySold
9022 Rosewall Ct,Springfield,VA,22152,690000,303,3,4.0,2279,1857.0,,1979,1,679700,3205,2025-01-31,townhome,recentlySold
6330 Millwood Ct,Springfield,VA,22152,755000,298,4,4.0,2535,2474.0,,1986,1,731000,3168,2025-01-31,townhome,recentlySold
7043 Calamo St,Springfield,VA,22150,702000,287,4,3.0,2444,0.36742424242424243,16005.0,1960,1,,3903,2025-01-31,singleFamily,recentlySold
6534 Langleigh Way,Alexandria,VA,22315,610000,336,3,4.0,1818,2074.0,,1987,1,607200,2936,2025-01-31,townhome,recentlySold
6090A Essex House Sq,Alexandria,VA,22310,393000,393,2,1.0,1000,,,1985,1,395200,2129,2025-01-31,townhome,recentlySold
6345 Demme Pl,Springfield,VA,22150,650000,420,3,4.0,1549,1400.0,,1995,1,653000,2882,2025-01-31,townhome,recentlySold
7008 Colgate Dr,Alexandria,VA,22307,850000,556,3,2.0,1530,7260.0,,1950,1,,3407,2025-01-31,singleFamily,recentlySold
6911 Clemson Dr,Alexandria,VA,22307,1235000,425,5,3.0,2908,0.2737603305785124,11925.0,1955,1,1302600,5107,2025-01-31,singleFamily,recentlySold
6500 Potomac Ave #UNIT A1,Alexandria,VA,22307,339000,432,2,1.0,785,,,1950,1,341700,1960,2025-01-31,condo,recentlySold
7914 Saint George Ct,Springfield,VA,22153,825500,336,4,4.0,2456,8836.0,,1973,1,,3617,2025-01-31,singleFamily,recentlySold
8034 Sleepy View Ln,Springfield,VA,22153,599000,378,3,4.0,1584,1650.0,,1979,1,597900,2942,2025-01-31,townhome,recentlySold
1900 Jamestown Rd,Alexandria,VA,22308,1240000,478,5,3.0,2595,10306.0,,1951,1,1228100,4702,2025-01-31,singleFamily,recentlySold
7938 Gunston Woods Pl,Lorton,VA,22079,612000,283,4,4.0,2160,1500.0,,1990,1,612700,3542,2025-01-31,townhome,recentlySold
10625 Lockerbie Way,Manassas,VA,20109,455000,263,3,3.0,1728,1306.8,,2000,1,446500,2596,2025-01-31,townhome,recentlySold
13628 Pelham Crossover Ln,Gainesville,VA,20155,850000,229,3,4.0,3704,8154.0,,2000,1,774100,3420,2025-01-31,singleFamily,recentlySold
18521 Sierra Springs Sq,Leesburg,VA,20176,660000,291,3,4.0,2269,2178.0,,2001,1,,2998,2025-01-31,townhome,recentlySold
12800 Warrenton Rd,Nokesville,VA,20181,1200000,478,4,3.0,2510,10.0018,435678.408,2001,1,1224900,3028,2025-01-31,singleFamily,recentlySold
8766 Grantham Ct,Bristow,VA,20136,690000,288,4,3.0,2395,5305.0,,2000,1,692900,3086,2025-01-31,singleFamily,recentlySold
1860 Stratford Park Pl APT 311,Reston,VA,20190,560000,482,2,2.0,1162,,,2000,1,548200,2805,2025-01-31,condo,recentlySold
2932 Blue Holly Ln,Herndon,VA,20171,1206000,265,4,4.0,4558,8124.0,,2001,1,1171800,4442,2025-01-31,singleFamily,recentlySold
